schema,pos rule,pos keywords,A pos legal advice,B pos legal advice,neg rule,neg keywords,neg legal advice,risk level,legal basis,risk statement,jiaoyan error advice,user show name,classify
支付方式,识别,,,,未识别,,"支付方式条款缺失或约定不明确，建议补充完整。应在合同中写明租金及押金的支付方式。
承租人无正当理由未支付或者迟延支付租金的，出租人可以要求承租人在合理期限内支付。承租人逾期不支付的，出租人可以解除合同。",高,,采用银行转账的，指定收款信息应核实准确，确保信息有效。若采用微信或支付宝转账的形式支付租金的，应在转账时进行备注。现金支付的，应开具收据。,,支付方式约定审核,合同履行条款审核
转租,识别,,,,未识别,,转租条款缺失或约定不明确，建议补充完整。双方可对转租作出详细约定。,中,"【《中华人民共和国民法典》第七百一十六条】 承租人经出租人同意,可以将租赁物转租给第三人。承租人转租的,承租人与出租人之间的租赁合同继续有效;第三人造成租赁物损失的,承租人应当赔偿损失。承租人未经出租人同意转租的,出租人可以解除合同。|【《中华人民共和国民法典》第七百一十七条】 承租人经出租人同意将租赁物转租给第三人,转租期限超过承租人剩余租赁期限的,超过部分的约定对出租人不具有法律约束力,但是出租人与承租人另有约定的除外。|【《中华人民共和国民法典》第七百一十八条】 出租人知道或者应当知道承租人转租,但是在六个月内未提出异议的,视为出租人同意转租。",承租人将租赁房屋再转租应取得房屋所有人同意或在租赁合同中明确约定允许转租。,,转租许可审核,合同转租审核
租期内其他费用,识别,,,,未识别,,"租期内其他费用条款缺失或约定不明确，建议补充完整。
其他费用条款包括但不限于物业管理费、能耗费、水费、电费、电视费、宽带费等以及因房屋使用而产生的费用。",中,,租期内其他费用承担主体应明确约定，以防出现争议。,,相关费用明确性审核,其他费用
房屋修缮,识别,,,,未识别,,"房屋维修责任条款缺失或约定不明确，建议补充完整。
租期内若发生房屋及设施损坏，维修责任主体以及费用承担方建议在合同中明确约定；没有约定的，按照法律规定。",中,"【《中华人民共和国民法典》第七百一十二条】 出租人应当履行租赁物的维修义务,但是当事人另有约定的除外。|【《中华人民共和国民法典》第七百一十三条】 承租人在租赁物需要维修时可以请求出租人在合理期限内维修。出租人未履行维修义务的,承租人可以自行维修,维修费用由出租人负担。因维修租赁物影响承租人使用的,应当相应减少租金或者延长租期。因承租人的过错致使租赁物需要维修的,出租人不承担前款规定的维修义务。",租赁房屋在租赁期间的修缮义务以及修缮费用应明确约定主体。,,房屋维修责任明确性审核,维修责任
违约责任,违约金审核,违约|违约解除|逾期|违约金|赔偿损失|诉讼费|律师费|保全费,,,未识别,,"违约责任条款缺失或约定不明确，建议补充完整。
若约定违约金，违约金数额不能过高，超过实际损失30%的违约金会被法院认定为过高，建议根据实际情况合理确定违约金数额。",中,"【《中华人民共和国民法典》第五百七十七条】 当事人一方不履行合同义务或者履行合同义务不符合约定的,应当承担继续履行、采取补救措施或者赔偿损失等违约责任。|【《中华人民共和国民法典》第五百九十二条】 当事人都违反合同的,应当各自承担相应的责任。
当事人一方违约造成对方损失,对方对损失的发生有过错的,可以减少相应的损失赔偿额。",违约责任条款未约定或未明确约定，如一方违约，守约方可能无法要求其承担相应的违约责任。,,违约责任审核,违约责任
争议解决,识别,争议.*(解决|仲裁|起诉|诉讼),,,未识别,,"争议解决条款缺失或约定不明确，建议补充完整。
如发生争议，双方应友好协商解决。房屋租赁合同纠纷为专属管辖，即应由不动产所在地的法院管辖。既约定仲裁又约定了诉讼的争议条款的，一般认定为无效条款。",中,,争议解决条款是当事人针对后续可能发生的争议提前约定处理方式的条款。可约定诉讼或仲裁方式，并应按照法律规定写明具体的诉讼法院或仲裁机构。,,争议解决条款明确性审核,争议解决审核
生效条款,识别,,,,未识别,,"生效条款缺失或约定不明确，建议补充完整。
一般合同自双方签字或盖章后生效。",中,,,,生效条款审核,合同生效审核
未尽事项,识别,未尽.*事|其他.*事项|未约定,,,未识别，不作审核,,,低,,,,未尽事项补充条款审核,其他约定
签字或盖章,识别,,,,未识别,,一方为自然人的，其签名须与身份证所载姓名一致，且需附身份证号码，并应附上签名捺印的身份证复印件。应审查公章真伪和来源，需要对方出示公司的授权性文件，警惕无权代理行为的发生，给另一方造成损失。,中,,签字或盖章行为系出租人与承租人对房屋租赁合同内容的确认，应由本人签字、捺印或盖章。,,签字盖章一致性审核,合同签署审核
签订日期,识别,,,,未识别，不作审核,,签订日期缺失，建议补充完整。,中,"【《中华人民共和国民法典》第五百零二条】 依法成立的合同,自成立时生效,但是法律另有规定或者当事人另有约定的除外。",签订日期为合同成立日期。,,签订日期完整性审核,合同签署审核
合同附件,识别,,,,未识别，不作审核,,,低,,,,合同附件审核,合同附件审核
拆迁,识别,,,,未识别,,房屋被征收或者拆迁处理条款缺失或或约定不明确，建议补充完整。,中,,房屋租赁当事人应当在房屋租赁合同中约定房屋被征收或者拆迁时的处理办法。,,房屋征迁处理办法审核,房屋征迁处理办法审核
合同解除,识别,,,,未识别,,合同解除条款缺失或约定不明确，建议补充完整。,中,"【《中华人民共和国民法典》第五百六十二条】当事人协商一致，可以解除合同。当事人可以约定一方解除合同的事由。解除合同的事由发生时，解除权人可以解除合同。|【《中华人民共和国民法典》第五百六十三条】有下列情形之一的，当事人可以解除合同：（一）因不可抗力致使不能实现合同目的；（二）在履行期限届满前，当事人一方明确表示或者以自己的行为表明不履行主要债务；（三）当事人一方迟延履行主要债务，经催告后在合理期限内仍未履行；（四）当事人一方迟延履行债务或者有其他违约行为致使不能实现合同目的；（五）法律规定的其他情形。以持续履行的债务为内容的不定期合同，当事人可以随时解除合同，但是应当在合理期限之前通知对方。|【《中华人民共和国民法典》第五百九十七条】因出卖人未取得处分权致使标的物所有权不能转移的，买受人可以解除合同并请求出卖人承担违约责任。
法律、行政法规禁止或者限制转让的标的物，依照其规定。",合同解除后，尚未履行的，终止履行；已经履行的，根据履行情况和合同性质，当事人可以请求恢复原状或者采取其他补救措施，并有权请求赔偿损失。,,合同解除条款审核,合同解除条款审核
