文档名,文本内容,schema,审核意见,审核结果
laowu5,报酬以双⽅约定为准,劳务报酬,"劳务报酬条款缺失或约定不明确，建议补充完整。
劳务报酬金额应以汉字大写和阿拉伯数字小写表达，并应标注币种，以防被篡改。"
laowu5,乙方在工作中因时刻注意自身安全，如提供劳务受伤，责任自负，与甲方无关。,提供劳务者受害责任自负,提供劳务中因劳务受到损害的，根据双方各自的过错承担相应的责任。【《中华人民共和国民法典》第一千一百九十二条】个人之间形成劳务关系，提供劳务一方因劳务造成他人损害的，由接受劳务一方承担侵权责任。接受劳务一方承担侵权责任后，可以向有故意或者重大过失的提供劳务一方追偿。提供劳务一方因劳务受到损害的，根据双方各自的过错承担相应的责任。提供劳务期间，因第三人的行为造成提供劳务一方损害的，提供劳务一方有权请求第三人承担侵权责任，也有权请求接受劳务一方给予补偿。接受劳务一方补偿后，可以向第三人追偿。,通过
laowu1,335558699588884155,甲方身份证号码/统一社会信用代码,,通过
laowu1,西安南湖县32号,乙方地址,,通过
laowu1,"3、乙方提供劳务过程中受伤责任自负，与甲方无关，放弃向甲方主张民事赔偿的权利
4、乙方在提供劳务过程中导致第三人受伤或损失，由乙方承担赔偿责任，与甲方无关。",损害赔偿,违反法律规定，建议核实或修改。,不通过
laowu1,乙方提供劳务过程中受伤责任自负，与甲方无关，放弃向甲方主张民事赔偿的权利,提供劳务者受害责任自负,违反法律规定，建议核实或修改。【《中华人民共和国民法典》第一千一百九十二条】个人之间形成劳务关系，提供劳务一方因劳务造成他人损害的，由接受劳务一方承担侵权责任。接受劳务一方承担侵权责任后，可以向有故意或者重大过失的提供劳务一方追偿。提供劳务一方因劳务受到损害的，根据双方各自的过错承担相应的责任。提供劳务期间，因第三人的行为造成提供劳务一方损害的，提供劳务一方有权请求第三人承担侵权责任，也有权请求接受劳务一方给予补偿。接受劳务一方补偿后，可以向第三人追偿。,不通过
laowu2,超艺,乙方,,通过
laowu2,本协议期限自自2019年7月3日起至2019年10月2日止，共三个月。,合同期限,,通过
laowu2,,保密条款,,不审核
laowu3,"本雇佣期限为三年。
自2022年8月18日生效，至2025年8月17日终止。",合同期限,,通过
laowu3,10000/月,劳务报酬,,通过
laowu3,每月1日前现金支付上月劳务报酬。,支付方式,,通过
laowu3,因乙方已退休，故甲方为乙方购买意外保险，以预防乙方自身雇佣风险。,保险,,通过
laowu3,"1、有下列请款之一，甲方可以解除合同：
（1）乙方工作不能胜任。
（2）乙方严重甲方规章制度的。
2、有下列情况之一，乙方可以解除合同：
（1）甲方以暴力、威胁或者非法限制人身自由的手段强迫劳动的。
（2）甲方未按照合同约定支付劳动报酬的。
（3）甲方提供的工作条件严重危害乙方身体健康的。",合同解除,,通过
laowu5,合同期限为2年，⾃2022年1⽉5⽇起至2024年1⽉4⽇⽌。,合同期限,,通过
laowu5,"⼄⽅应定期接受甲⽅的绩效考核。考核不合格者，甲方有权解除合同。
合同期满如未续签，则视为《劳务雇佣合同书》⾃⾏终⽌，双⽅应及时办理相关⼿续。
3、甲⼄双⽅协商⼀致，本合同可以解除。
六、权利与义务
1、⼄⽅有义务向甲⽅提供真实的个⼈信息与相关证明，并如实填写《劳务⼈员登记表》，否则甲⽅有权随时解除本合同，并且不给予经济补偿。",合同解除,,通过
laowu5,,附件,,不审核
laowu5,签订⽇期：2022年1⽉5⽇,签订日期,,通过
laowu2,335004197475612541,甲方身份证号码/统一社会信用代码,,通过
laowu3,335005198978454444,甲方身份证号码/统一社会信用代码,,通过
laowu4,按计件⼯资标准,劳务报酬,,通过
laowu4,每月15号之前,支付方式,,通过
laowu5,332001188702120087,乙方身份证号,,通过
